make,model,year,miles,exterior-color,interior-color,accidents-reported,num-of-owners,price
Kia,Forte,2022,41406,Gray,Black,0,1,15988
Chevrolet,Silverado 1500,2021,15138,White,Black,1,1,38008
Toyota,RAV4,2022,32879,Silver,Unknown,0,1,24988
Honda,Civic,2020,37190,Blue,Black,0,1,18998
Honda,Civic,2020,27496,Black,Black,0,1,19498
Honda,Civic,2020,29026,Silver,Black,1,1,21000
Honda,Accord,2019,4148,Black,Black,1,1,20998
Mercedes-Benz,GLC,2018,57602,Blue,Unknown,1,3,18887
Honda,Civic,2020,50240,Black,Black,1,1,19498
BMW,5 Series,2013,56766,White,Black,0,3,17998
Jeep,Wrangler,2018,44099,Gray,Black,0,2,30998
Honda,Civic,2020,11140,Black,Black,0,1,20998
Honda,Civic,2020,8506,Gray,Black,0,1,22597
Mercedes-Benz,GLC,2021,38760,Black,Black,0,1,29998
Porsche,Macan,2020,27002,White,Black,0,2,39998
Honda,Civic,2021,22850,White,Black,0,1,21998
Buick,Cascada,2016,68660,White,Beige,1,2,17998
BMW,3 Series,2014,55079,White,Black,0,2,17998
Jeep,Grand Cherokee,2017,64337,White,Black,0,2,19598
Mercedes-Benz,C-Class,2018,83424,White,Black,1,2,18285
Honda,Odyssey,2019,61318,Black,Brown,0,1,26998
Mercedes-Benz,GLC,2020,36064,White,Unknown,1,1,26839
BMW,7 Series,2015,57707,White,Black,0,3,27998
Mercedes-Benz,GLC,2020,38981,Black,Black,1,1,26518
Kia,K5,2022,33632,White,Black,0,1,19988
Nissan,Kicks,2021,51560,Gray,Black,0,1,16488
Mercedes-Benz,C-Class,2021,18769,Silver,Unknown,0,1,29990
Honda,CR-V,2020,74031,Gray,Gray,0,1,23998
Honda,Civic,2020,16112,White,Beige,0,1,20998
Honda,CR-V,2019,17123,Gray,Black,1,1,24498
Honda,Civic,2016,71406,Gray,Gray,1,2,16498
Chrysler,Pacifica,2018,73428,White,Black,0,2,19998
Volkswagen,Tiguan,2020,28897,White,Black,1,1,20998
BMW,3 Series,2015,60478,Black,Black,1,2,16998
Porsche,Cayenne,2020,44880,Silver,Black,0,3,43998
Honda,CR-V,2022,23215,White,Black,0,1,27798
Nissan,Sentra,2021,24044,Black,Black,0,1,20998
Volkswagen,Tiguan,2019,50950,Gray,Black,0,1,20998
Toyota,Camry,2020,36853,Gray,Black,1,1,23998
Chevrolet,Malibu,2022,32668,Gray,Gray,0,1,19998
Volkswagen,Tiguan,2021,50142,Gray,Black,0,1,17998
Chevrolet,Volt,2017,91969,Black,Black,1,1,14998
Land,Rover Range Rover Sport,2016,74525,Black,Beige,1,2,20994
Toyota,Highlander,2021,16462,White,Beige,0,1,35037
Kia,Optima,2015,86935,White,Beige,0,1,15998
Dodge,Charger,2016,120296,Gray,Black,0,1,20998
Jeep,Grand Cherokee,2015,29063,Gray,Black,0,1,23998
Toyota,Corolla,2022,33167,White,Black,0,1,20222
Honda,Civic,2020,11593,Red,Black,0,1,20698
Jeep,Wrangler,2019,58038,White,Black,0,3,27998
BMW,3 Series,2015,78479,White,Black,0,2,15998
Honda,Odyssey,2012,122285,Gray,Gray,0,1,14998
Toyota,Tacoma,2015,87121,Gray,Gray,1,2,21499
Toyota,4Runner,2021,25671,Gray,Black,0,1,40998
Ford,Mustang,2015,107676,Orange,Black,0,2,14300
Toyota,RAV4,2022,38375,Silver,Unknown,0,1,24988
Honda,CR-V,2013,76825,Gray,Black,0,1,16998
Honda,Accord,2019,58575,White,Black,0,2,21788
Honda,Accord,2021,34447,Black,Black,0,1,24498
Toyota,Camry,2016,100359,White,Black,1,2,16998
Honda,Pilot,2021,42840,White,Black,1,1,28998
Nissan,Rogue Sport,2022,7415,Gray,Black,0,1,26998
INFINITI,QX60,2020,31907,Blue,Beige,0,1,28998
Volvo,XC60,2021,34656,Blue,Brown,0,1,33998
Honda,Pilot,2017,97438,Red,Black,0,1,21670
Ford,Explorer,2017,115951,White,Beige,0,2,15998
Chevrolet,Equinox,2020,108281,White,Black,1,2,15998
Mercedes-Benz,GLC,2019,67648,Black,Black,0,2,22999
Mercedes-Benz,GLE,2021,21413,Black,Black,0,1,42762
Chevrolet,Volt,2013,102479,Silver,Black,0,5,12599
Jeep,Grand Cherokee,2018,67086,White,Black,0,2,24998
Honda,Accord,2023,2414,White,Black,0,1,25998
Honda,Odyssey,2019,51617,Silver,Brown,1,1,28998
BMW,3 Series,2017,78006,Gray,Black,1,2,17998
Jeep,Wrangler,2016,82472,Black,Black,0,1,23998
Chevrolet,Malibu,2022,36517,Silver,Black,0,1,16499
Mercedes-Benz,S-Class,2015,62007,Blue,Beige,0,2,29333
Nissan,Sentra,2019,50045,Gray,Black,0,2,16998
Volvo,S90,2019,30202,Black,Black,0,2,26989
BMW,X3,2021,12093,Black,Black,0,1,32998
Mercedes-Benz,C-Class,2017,46904,White,Black,3,3,25998
Mercedes-Benz,GLS,2019,22998,Silver,Black,1,1,39999
Ford,Mustang,2014,84324,Silver,Black,1,2,18481
Ford,Bronco Sport,2022,5335,Black,Black,1,1,26495
Toyota,Camry,2018,13411,Black,Black,1,1,24998
Mitsubishi,Outlander Sport,2020,53961,Black,Black,0,2,15999
Volvo,XC90,2016,126749,Black,Brown,0,3,19998
Honda,Odyssey,2021,30252,Gray,Unknown,0,1,35498
Kia,Forte,2021,37385,White,Black,0,1,14999
Lexus,RX,2020,37965,Black,Black,0,1,35998
Mercedes-Benz,E-Class,2022,27642,Gray,Black,0,1,41998
Nissan,Versa,2017,87358,Gray,Black,1,1,8488
Jeep,Wrangler,2021,19914,Gray,Black,0,1,35998
Ford,Edge,2017,89932,Black,Black,0,2,13998
Toyota,Camry,2023,19140,White,Unknown,0,1,24575
BMW,7 Series,2019,66896,Black,Black,0,1,28624
Chevrolet,Silverado 1500,2021,41233,White,Black,1,2,32197
Lexus,RX,2011,95016,Red,Black,0,2,15049
Honda,Civic,2016,88063,Silver,Black,1,3,17998
BMW,4 Series,2017,70468,Gray,Black,0,2,20998
Hyundai,Sonata,2013,95775,Silver,Gray,0,2,13998
Chrysler,300,2021,63819,Black,Black,0,1,20599
Ford,Fusion,2018,67207,Gray,Black,0,2,16998
Mazda,Mazda3,2016,48616,Red,Black,0,1,18998
Mercedes-Benz,GLA,2021,39860,Silver,Black,0,1,26965
Chevrolet,Blazer,2020,23724,Gray,Black,1,1,24998
Nissan,Altima,2021,58885,Black,Black,0,1,17993
Ford,Bronco Sport,2022,18887,Gray,Black,0,1,29795
BMW,3 Series,2016,77896,White,Beige,1,2,14621
Mazda,CX-9,2014,102507,Silver,Black,0,2,10498
Honda,S2000,2000,15600,Black,Black,0,1,39998
Toyota,Tacoma,2019,48925,Gray,Gray,0,2,27555
Toyota,Tacoma,2017,97372,Gray,Gray,1,2,21555
Mercedes-Benz,GLA,2022,2885,Black,Black,0,1,45999
Toyota,Corolla,2021,44630,Gray,Black,1,2,17000
Hyundai,Palisade,2020,47492,Black,Black,0,1,29000
Ford,Transit Connect Van,2019,66478,White,Black,0,1,22995
Honda,Odyssey,2020,26469,White,Gray,0,1,31997
Ford,Explorer,2022,10608,White,Black,0,1,45828
Ford,Fusion,2015,83650,White,Gray,0,1,11995
Volvo,S60,2018,55196,Gray,Black,0,2,18975
Volkswagen,Tiguan,2020,17193,Black,Black,0,1,19490
Mercedes-Benz,S-Class,2014,88900,White,Beige,0,1,24502
Chevrolet,Traverse,2020,57826,White,Black,1,1,28600
Mercedes-Benz,C-Class,2020,30791,Silver,Gray,1,1,24791
Toyota,Corolla,2021,11703,Black,Gray,0,1,18782
Land,Rover Range Rover Sport,2013,124544,Silver,Black,0,3,11995
Acura,RDX,2021,44809,White,Black,0,1,28250
Honda,Civic,2021,19299,Gray,Black,1,1,18998
Volvo,XC90,2021,30944,Blue,Beige,0,1,38749
Honda,Civic,2021,20684,White,Black,0,1,22500
Maserati,Quattroporte,2019,66469,Blue,Brown,0,1,28421
Land,Rover Range Rover Sport,2021,53743,Black,Black,0,1,47995
Chevrolet,Equinox,2020,28980,Black,Black,0,1,19795
Hyundai,Accent,2016,94267,White,Gray,0,2,6999
Ford,Edge,2020,9494,Gray,Black,0,1,26795
Chevrolet,Equinox,2021,64971,Blue,Black,0,1,16289
Volvo,XC90,2018,51994,Silver,Black,0,1,24999
Lexus,RX,2020,28999,Black,Unknown,1,2,30999
Land,Rover Range Rover,2018,35993,White,Black,0,2,47999
Ford,Fusion,2018,61962,Blue,Black,0,1,14788
Mercedes-Benz,C-Class,2020,15698,Black,Beige,0,1,30006
Toyota,RAV4,2021,33636,Red,Black,0,1,24333
Jeep,Gladiator,2020,38465,White,Black,0,1,28799
Mercedes-Benz,E-Class,2019,38783,White,Black,0,1,29750
Dodge,Charger,2019,42526,White,Black,0,1,18000
Volkswagen,Tiguan,2020,41266,Gray,Black,0,1,18991
Chevrolet,Malibu,2018,84208,White,Black,0,3,10995
Ford,Ranger,2019,45072,Gray,Black,0,1,26495
Chevrolet,Tahoe,2018,33118,Black,Black,0,1,36295
Honda,Civic,2020,18650,Silver,Black,0,1,20683
Toyota,Tacoma,2023,6828,Silver,Black,0,1,39500
Chevrolet,Camaro,2014,76071,Black,Black,1,1,13850
Toyota,Corolla,2021,62758,Black,Black,0,1,16900
Toyota,Camry,2020,68181,Black,Gray,1,1,18988
Kia,Soul,2022,43839,White,Black,0,1,14999
Honda,Civic,2012,100774,Blue,Gray,0,2,9900
Toyota,Corolla,2022,32604,Black,Black,0,1,17599
Toyota,RAV4,2021,18746,White,Unknown,0,1,24999
Subaru,Outback,2020,43468,White,Gray,0,1,22000
Ford,F-150,2021,66206,Black,Black,0,1,36475
Land,Rover Range Rover Velar,2019,26989,White,Unknown,0,1,44395
Honda,HR-V,2020,32972,Gray,Black,0,1,22143
Ford,F-150,2014,99018,White,Gray,0,1,14495
Mercedes-Benz,CLA,2020,25905,White,Black,0,2,36966
Toyota,Tacoma,2021,19950,Green,Gray,0,1,33333
Honda,Accord,2014,54424,Tan,Beige,0,3,17498
Jeep,Wrangler,2018,50216,White,Black,1,3,24000
Nissan,Altima,2015,101629,Black,Black,0,2,12599
Ford,Explorer,2020,31907,Gray,Black,0,1,39998
Honda,Civic,2021,27185,White,Black,0,1,25998
Ford,Fiesta,2014,97490,Gray,Black,1,3,10998
Nissan,Sentra,2015,56977,Black,Black,0,3,14998
Toyota,Venza,2014,113327,Silver,Gray,2,4,14599
Mercedes-Benz,GLC,2019,37682,Black,Black,0,1,26998
Honda,Civic,2019,45246,White,Black,0,2,21998
Mercedes-Benz,GLE,2016,69891,White,Gray,1,1,22998
Volkswagen,Tiguan,2019,73055,White,Black,0,1,18998
Mercedes-Benz,CLA,2023,9735,White,Black,0,1,37815
Honda,HR-V,2023,3590,Unknown,Gray,0,1,24480
Mercedes-Benz,GLB,2020,24121,Black,Black,0,2,27179
BMW,i3,2016,62200,White,Gray,0,3,12999
Ford,Bronco,2022,10611,Black,Unknown,0,1,46997
Subaru,WRX,2019,38318,Gray,Black,0,4,26298
Kia,Forte,2022,38804,White,Black,0,1,15199
Honda,Civic,2020,46024,Blue,Unknown,0,1,19998
Toyota,Corolla,2021,21209,Red,Black,1,1,22993
Volkswagen,Jetta,2019,19267,White,Black,0,1,17991
Ford,Edge,2023,4706,White,Black,0,1,34770
Ford,Edge,2020,23841,White,Black,0,1,27995
Land,Rover Range Rover,2014,74950,White,Beige,1,1,29995
Toyota,Corolla,2014,103439,Gray,Black,0,4,12750
Toyota,Camry,2022,31535,White,Black,0,1,21899
BMW,X5,2021,40003,Gray,Brown,1,1,36996
Land,Rover Range Rover Sport,2014,109322,White,Unknown,0,4,18995
Land,Rover Range Rover Sport,2015,25995,Unknown,Unknown,0,5,25995
Lexus,IS,2014,101232,White,Beige,2,3,16795
BMW,X3,2021,47167,Gray,Black,0,1,26698
Honda,Civic,2021,27790,Black,Black,0,1,22498
Mercedes-Benz,E-Class,2021,16386,Black,Black,0,1,35756
Honda,Civic,2018,77068,White,Gray,0,3,14987
Chevrolet,Silverado 1500,2018,20165,Gray,Black,0,1,41000
Toyota,Camry,2022,31634,Silver,Black,0,1,22100
Ford,Transit Passenger Wagon,2021,61023,White,Black,0,2,42993
Toyota,Corolla,2022,38484,Blue,Black,0,1,18498
Mercedes-Benz,C-Class,2020,26488,Blue,Beige,0,2,24990
Mercedes-Benz,GLE,2021,41592,Black,Black,0,1,36991
Kia,Forte,2022,39844,White,Black,0,1,15199
Toyota,Camry,2023,14771,Unknown,Unknown,0,1,25995
Toyota,Tacoma,2022,9629,White,Black,0,1,40991
BMW,3 Series,2017,86333,Gray,Black,0,2,15600
Audi,Q5,2021,23982,Black,Black,0,1,33949
Toyota,Corolla,2021,17471,Gray,Black,1,1,17987
Chevrolet,Blazer,2021,33980,White,Black,0,1,24986
Toyota,Corolla,2022,47087,Black,Unknown,0,2,17999
Maserati,GranTurismo,2014,52973,Black,Beige,0,2,39999
Mercedes-Benz,C-Class,2021,18741,Blue,Beige,0,1,30651
Toyota,Camry,2020,64716,Gray,Black,0,1,18700
Toyota,Corolla,2021,18446,White,Black,2,1,19781
Chevrolet,Camaro,2011,138514,White,Black,1,2,7000
Mercedes-Benz,CLA,2020,37974,Silver,Beige,1,1,26374
Subaru,Outback,2024,2455,Gray,Gray,0,1,31999
Audi,Q3,2021,52381,White,Black,0,1,22399
Lexus,RC,2016,74595,Silver,Black,1,2,23888
Toyota,Corolla,2020,46357,Black,Black,1,2,16999
Ford,Focus,2016,104788,Silver,Black,0,3,7499
